index,failure_test_name,failure_file,failure_namespace_version,failure_kind,classification,failure_cause,dependency_on_V40I_source_changes,test_source_identical_to_pre_I,test_source_SHA256,pre_existing_failure_reproduced_without_V40I_source,baseline_commit,baseline_mode,independent_environment_or_missing_dependency,original_message,baseline_message,branch_test_note,forensic_source_changes_to_force_pass
10,tests.dayahead.test_v29r1_source_resume::test_each_day_has_96_slot_sources_and_verified_manifest,tests\dayahead\test_v29r1_source_resume.py,v29r1,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,6e046c7c85f119483a8dc70e488054827d80f45c6b18a4982f8175485ce3ffed,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert False
 +  where False = is_file()
 +    where is_file = (WindowsPath('C:/codex_mobileess_workspace/MobileESS_v40a_bounded_iterative_coopt/cache/v29r1_trust_cert_sources/jan_mar_2025/days/2025-01-01') / 'gfs_d1_weather.parquet').is_file","AssertionError: assert False
 +  where False = is_file()
 +    where is_file = (WindowsPath('C:/codex_mobileess_workspace/v40i_prechange_tests/cache/v29r1_trust_cert_sources/jan_mar_2025/days/2025-01-01') / 'gfs_d1_weather.parquet').is_file",,False
11,tests.dayahead.test_v29r2_service_model::test_final_service_model_files_match_frozen_sha,tests\dayahead\test_v29r2_service_model.py,v29r2,failure,UNRELATED_PREEXISTING_FROZEN_ARTIFACT_FAILURE,HISTORICAL_FROZEN_ARTIFACT_HASH_OR_SIZE_MISMATCH: inherited files do not match older version seal; reproduced before I code exists,False,True,dbba6647d8c6547f8ab3784141f36847ddbb0bc7b2210c16746ada2faa24f3fb,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,False,"AssertionError: assert '97a0aaa8581f...21860429164e9' == '75a60dc688ad...84f41dc173a47'
  
  - 75a60dc688ad5255c2fe6e82950c3f8a0577c4fde6b9705103884f41dc173a47
  + 97a0aaa8581fd03b8cea3b4479d01b82f967f928b1d2eae6d7621860429164e9","AssertionError: assert '97a0aaa8581f...21860429164e9' == '75a60dc688ad...84f41dc173a47'
  
  - 75a60dc688ad5255c2fe6e82950c3f8a0577c4fde6b9705103884f41dc173a47
  + 97a0aaa8581fd03b8cea3b4479d01b82f967f928b1d2eae6d7621860429164e9",,False
12,tests.dayahead.test_v29r3_aidc_effect_forensic::test_14_no_scale_rho_or_mess_rating_changes,tests\dayahead\test_v29r3_aidc_effect_forensic.py,v29r3,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,b52dc885247048d2567d13204062dcad96e1fbf0cc87a605c8aca04e1c332dee,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert 'dayahead/v28...e_registry.py' == ''
  
  + dayahead/v28r2/variable_registry.py","AssertionError: assert 'dayahead/v28...e_registry.py' == ''
  
  + dayahead/v28r2/variable_registry.py",,False
13,tests.dayahead.test_v30_two_stage_aidc_recourse::test_39_historical_preservation,tests\dayahead\test_v30_two_stage_aidc_recourse.py,v30,failure,UNRELATED_PREEXISTING_FROZEN_ARTIFACT_FAILURE,HISTORICAL_FROZEN_ARTIFACT_HASH_OR_SIZE_MISMATCH: inherited files do not match older version seal; reproduced before I code exists,False,True,d645965f5f393a47ec0539105f3fad76110e726c4f3094ded477066610e89b88,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,False,RuntimeError: V29R3_PROTECTED_ARTIFACT_MISMATCH,RuntimeError: V29R3_PROTECTED_ARTIFACT_MISMATCH,,False
14,tests.dayahead.test_v33xr3_janmar_voltage_residual_audit::test_22_mess_unchanged,tests\dayahead\test_v33xr3_janmar_voltage_residual_audit.py,v33xr3,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,1c4355deae6f24058e376951080c7c7cacc4807b99f915522470856baa371726,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert ['dayahead/v2..._registry.py'] == []
  
  Left contains one more item: 'dayahead/v28r2/variable_registry.py'
  Use -v to get more diff","AssertionError: assert ['dayahead/v2..._registry.py'] == []
  
  Left contains one more item: 'dayahead/v28r2/variable_registry.py'
  Use -v to get more diff",,False
15,tests.dayahead.test_v33xr3_janmar_voltage_residual_audit::test_24_artifact_determinism,tests\dayahead\test_v33xr3_janmar_voltage_residual_audit.py,v33xr3,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,1c4355deae6f24058e376951080c7c7cacc4807b99f915522470856baa371726,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v32r3_minimal_janmar_authority_frontier\\dayahead\\artifacts\\v32r3_minimal_janmar_authority\\V32R3_AUTHORITY_COVERAGE_AUDIT.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v32r3_minimal_janmar_authority_frontier\\dayahead\\artifacts\\v32r3_minimal_janmar_authority\\V32R3_AUTHORITY_COVERAGE_AUDIT.json',,False
16,tests.dayahead.test_v33xr2_e1_vmax10495::test_11_mess_is_unchanged_and_not_reoptimized,tests\dayahead\test_v33xr2_e1_vmax10495.py,v33xr2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,d57c14fbf567218756e951bae4c89a11e98c287c3fb8d2b99f596a7bc7bb58c0,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert ['dayahead/v2..._registry.py'] == []
  
  Left contains one more item: 'dayahead/v28r2/variable_registry.py'
  Use -v to get more diff","AssertionError: assert ['dayahead/v2..._registry.py'] == []
  
  Left contains one more item: 'dayahead/v28r2/variable_registry.py'
  Use -v to get more diff",,False
17,tests.dayahead.test_v33xr3r1_janmar_b1_ac_fidelity::test_01_exact_starting_head,tests\dayahead\test_v33xr3r1_janmar_b1_ac_fidelity.py,v33xr3r1,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,f9033524e5b3a263091e72a9981ce3c285b9237fc03c9d45f8b9765123418eab,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert 'codex/v40a-b...dc-mess-coopt' == 'codex/v33xr3...terialization'
  
  - codex/v33xr3r1-janmar-b1-ac-fidelity-materialization
  + codex/v40a-bounded-iterative-aidc-mess-coopt","AssertionError: assert '' == 'codex/v33xr3...terialization'
  
  - codex/v33xr3r1-janmar-b1-ac-fidelity-materialization",Baseline detached HEAD also fails old branch assertion; START_GIT_STATUS and V40I start branch record establish current V40A branch predated I.,False
18,tests.dayahead.test_v33xr3r1_janmar_b1_ac_fidelity::test_23_mess_code_untouched,tests\dayahead\test_v33xr3r1_janmar_b1_ac_fidelity.py,v33xr3r1,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,f9033524e5b3a263091e72a9981ce3c285b9237fc03c9d45f8b9765123418eab,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: assert 'dayahead/v28...e_registry.py' == ''
  
  + dayahead/v28r2/variable_registry.py","AssertionError: assert 'dayahead/v28...e_registry.py' == ''
  
  + dayahead/v28r2/variable_registry.py",,False
19,tests.dayahead.test_v35r1_forensic::test_all_apr01_20_b3_results_have_current_lineage_and_aidc_identity,tests\dayahead\test_v35r1_forensic.py,v35r1,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,79a767b8213c8cd4c7b2270d8a4c9f0926ad61e03454c24e5ced0e754f76284b,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: V35R1_HISTORICAL_CACHE_MISSING:2025-04-01/B3,FileNotFoundError: V35R1_HISTORICAL_CACHE_MISSING:2025-04-01/B3,,False
20,tests.dayahead.test_v35r1_forensic::test_storage_reloads_and_actual_terminal_soc_uses_1200_kwh_capacity,tests\dayahead\test_v35r1_forensic.py,v35r1,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,79a767b8213c8cd4c7b2270d8a4c9f0926ad61e03454c24e5ced0e754f76284b,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: V35R1_HISTORICAL_CACHE_MISSING:2025-04-01/B0,FileNotFoundError: V35R1_HISTORICAL_CACHE_MISSING:2025-04-01/B0,,False
21,tests.dayahead.test_v33xr3r2_causal_pgw_ac_residual::test_v33xr3r2_targeted_gate[01-exact starting HEAD],tests\dayahead\test_v33xr3r2_causal_pgw_ac_residual.py,v33xr3r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,e414f40c6e3f6d33762273625ef50e70018687b4e764aeb142f37834ea942178,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: exact starting HEAD
assert False","AssertionError: exact starting HEAD
assert False",,False
22,tests.dayahead.test_v33xr3r2_causal_pgw_ac_residual::test_v33xr3r2_targeted_gate[52-MESS unchanged],tests\dayahead\test_v33xr3r2_causal_pgw_ac_residual.py,v33xr3r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_GIT_IDENTITY_CONTRACT: old branch/starting HEAD/base comparison is incompatible with later V40H/V40I branch; legacy source differences predate I,False,True,e414f40c6e3f6d33762273625ef50e70018687b4e764aeb142f37834ea942178,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,"AssertionError: MESS unchanged
assert False","AssertionError: MESS unchanged
assert False",,False
23,tests.dayahead.test_v39f_day17_diagnostic::test_exact_job_cohort_conservation,tests\dayahead\test_v39f_day17_diagnostic.py,v39f,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,024228028c527207a704cf61ed1ada4f4d7c681e7574026769aa179548794603,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_SLOT82_SHIFT_DECOMPOSITION.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_SLOT82_SHIFT_DECOMPOSITION.json',,False
24,tests.dayahead.test_v39f_day17_diagnostic::test_undefined_shadow_is_not_faked_as_feasible_or_infeasible,tests\dayahead\test_v39f_day17_diagnostic.py,v39f,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,024228028c527207a704cf61ed1ada4f4d7c681e7574026769aa179548794603,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_RSP_OBJECTIVE_AUDIT.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_RSP_OBJECTIVE_AUDIT.json',,False
25,tests.dayahead.test_v39f_day17_diagnostic::test_month_audit_preserves_sign_and_population,tests\dayahead\test_v39f_day17_diagnostic.py,v39f,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,024228028c527207a704cf61ed1ada4f4d7c681e7574026769aa179548794603,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_MAY31_TEMPORAL_FLEXIBILITY_REALISM_AUDIT.csv',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_MAY31_TEMPORAL_FLEXIBILITY_REALISM_AUDIT.csv',,False
26,tests.dayahead.test_v39f_day17_diagnostic::test_frozen_rsp_voltage_reproduced_without_temporal_change,tests\dayahead\test_v39f_day17_diagnostic.py,v39f,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,024228028c527207a704cf61ed1ada4f4d7c681e7574026769aa179548794603,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_FROZEN_RSP_SITE_ONLY_DIAGNOSTIC.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\dayahead\\artifacts\\v39f_day17_rsp_temporal_grid_diagnostic\\V39F_DAY17_FROZEN_RSP_SITE_ONLY_DIAGNOSTIC.json',,False
