feature_name,source,value_time,available_at,forecast_origin,eligibility,classification,authority_evidence
FUTURE_CONTEXT.hour_cos,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.weekday_sin,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.weekday_cos,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.weekend,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.seasonal_GPUh_lag7d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_mature_lag7d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_GPUh_lag14d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_mature_lag14d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_GPUh_lag21d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_mature_lag21d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_GPUh_lag28d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
FUTURE_CONTEXT.seasonal_mature_lag28d,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
future_submit,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
future_start,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
future_end,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
future_completion,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
unfinished_final_runtime,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
final_queue_wait,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
final_status,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
target_day_actual_GPUh,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
rolling_right_after_origin,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
retrospective_F30,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
V40P_prediction,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
V40R_R2_outcomes,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
May_outcomes,Excluded,Future/unproven,Future/unproven,t0,False,FUTURE_LEAKAGE,Explicit prohibition or no submit-time version authority
request_GPU_aggregate,Excluded,Future/unproven,Future/unproven,t0,False,TIMESTAMP_AMBIGUOUS,Explicit prohibition or no submit-time version authority
request_walltime,Excluded,Future/unproven,Future/unproven,t0,False,TIMESTAMP_AMBIGUOUS,Explicit prohibition or no submit-time version authority
partition_QoS_as_submit_time_state,Excluded,Future/unproven,Future/unproven,t0,False,TIMESTAMP_AMBIGUOUS,Explicit prohibition or no submit-time version authority
