candidate,path,line,text
Alibaba,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,1893,"      ""relative_path"": ""데이터 센터/Alibaba GPU Cluster Trace v2026 Job execution summary/Mobile ESS - 브랜치 · 브랜치 · 트러블슈팅 진행_files/AnimatedMascot-dx2jnhv5.css"","
Alibaba,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,1900,"      ""relative_path"": ""데이터 센터/Alibaba GPU Cluster Trace v2026 Job execution summary/Mobile ESS - 브랜치 · 브랜치 · 트러블슈팅 진행_files/ansi-1f6vhsjh.css"","
BurstGPT,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2222,"      ""relative_path"": ""데이터 센터/BurstGPT v2.0 장기 LLM 추론 요청 데이터/BurstGPT_1.csv"","
BurstGPT,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2229,"      ""relative_path"": ""데이터 센터/BurstGPT v2.0 장기 LLM 추론 요청 데이터/BurstGPT_2.csv"","
BurstGPT,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2236,"      ""relative_path"": ""데이터 센터/BurstGPT v2.0 장기 LLM 추론 요청 데이터/BurstGPT_3.csv"","
BurstGPT,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2243,"      ""relative_path"": ""데이터 센터/BurstGPT v2.0 장기 LLM 추론 요청 데이터/BurstGPT_without_fails_1.csv"","
BurstGPT,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2250,"      ""relative_path"": ""데이터 센터/BurstGPT v2.0 장기 LLM 추론 요청 데이터/BurstGPT_without_fails_2.csv"","
AzureLLM,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2341,"      ""relative_path"": ""데이터 센터/Microsoft Azure LLM Inference Dataset 2024/AzureLLMInferenceTrace_conv_1week.csv"","
AzureLLM,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2348,"      ""relative_path"": ""데이터 센터/Microsoft Azure LLM Inference Dataset 2024/AzurePublicDataset-AzureLLMInferenceDataset2024.md at master · Azure-AzurePublicDataset.url"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2355,"      ""relative_path"": ""데이터 센터/NLR Eagle Jobs + Energy Metrics/datacard.md"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2362,"      ""relative_path"": ""데이터 센터/NLR Eagle Jobs + Energy Metrics/esif.hpc.eagle.job-anon-energy-metrics.zip"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2369,"      ""relative_path"": ""데이터 센터/NLR Eagle Jobs + Energy Metrics/NLR HPC Eagle Jobs Data and Additional Energy Metrics - NLR Data Catalog.url"","
EagleNodePower,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2306,"      ""relative_path"": ""데이터 센터/Eagle 전체 node 전력/esif.hpc.eagle.ilo-power.2023.zip"","
EagleNodePower,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2313,"      ""relative_path"": ""데이터 센터/Eagle 전체 node 전력/esif.hpc.eagle.ilo-power.2024.zip"","
EagleNodePower,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2320,"      ""relative_path"": ""데이터 센터/Eagle 전체 node 전력/NLR HPC Eagle Node Power Data - NLR Data Catalog.url"","
EagleNodePower,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2397,"      ""relative_path"": ""데이터 센터/NLR HPC Eagle 장기 노드 전력 데이터/esif.hpc.eagle.ilo-power.2019.zip"","
EagleNodePower,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2404,"      ""relative_path"": ""데이터 센터/NLR HPC Eagle 장기 노드 전력 데이터/esif.hpc.eagle.ilo-power.2020.zip"","
DISPATCHPRICE,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,10,"      ""relative_path"": ""2024 DISPATCHPRICE/PUBLIC_ARCHIVE#DISPATCHPRICE#FILE01#202408010000.zip"","
DISPATCHPRICE,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,17,"      ""relative_path"": ""2024 DISPATCHPRICE/PUBLIC_ARCHIVE#DISPATCHPRICE#FILE01#202409010000.zip"","
DISPATCHPRICE,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,24,"      ""relative_path"": ""2024 DISPATCHPRICE/PUBLIC_ARCHIVE#DISPATCHPRICE#FILE01#202410010000.zip"","
DISPATCHPRICE,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,31,"      ""relative_path"": ""2024 DISPATCHPRICE/PUBLIC_ARCHIVE#DISPATCHPRICE#FILE01#202411010000.zip"","
DISPATCHPRICE,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,38,"      ""relative_path"": ""2024 DISPATCHPRICE/PUBLIC_ARCHIVE#DISPATCHPRICE#FILE01#202412010000.zip"","
AEMOGeneration,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,262,"      ""relative_path"": ""AEMO Generation Information/AEMO - Generation information.url"","
AEMOGeneration,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,269,"      ""relative_path"": ""AEMO Generation Information/NEM Generation Information July 2025.xlsx"","
AEMOGeneration,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,276,"      ""relative_path"": ""AEMO Generation Information/NEM Generation Information Oct 2025.xlsx"","
AEMOGeneration,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,283,"      ""relative_path"": ""AEMO Generation Information/NEM-Generation-Information-April-2025.xlsx"","
AEMOGeneration,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,290,"      ""relative_path"": ""AEMO Generation Information/NEM-Generation-Information-January-2025.xlsx"","
JemenaZone,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,766,"      ""relative_path"": ""Jemena 2025 zone-substation/zone substations.zip"","
JemenaLoops,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,787,"      ""relative_path"": ""Jemena subtransmission loops/sub-transmission loops.zip"","
RIPE_MLab,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,857,"      ""relative_path"": ""WAN/atlas.ripe.net-api-v2-anchor-measurements--include=target,measurement&page_size=500&format=json.url"","
RIPE_MLab,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,864,"      ""relative_path"": ""WAN/atlas.ripe.net-api-v2-anchors--country=AU&page_size=500&format=json.url"","
RIPE_MLab,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,871,"      ""relative_path"": ""WAN/atlas.ripe.net-api-v2-anchors--country=AU&search=Melbourne&page_size=500&format=json.url"","
RIPE_MLab,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,885,"      ""relative_path"": ""WAN/M-Lab.zip"","
RIPE_MLab,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,892,"      ""relative_path"": ""WAN/M-Lab/mlab_melbourne_2025_01.csv.csv"","
ERA5,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16\AIDC_RAW_PREFLIGHT.json,2334,"      ""relative_path"": ""데이터 센터/Melbourne 장기 외기 데이터/ERA5-Land hourly data from 1950 to present.url"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_AIDC_POWER_V3R2_EAGLE_FINAL_REVIEW.json,123,"      ""absolute_path"": ""C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw\ub370\uc774\ud130\\\ub370\uc774\ud130 \uc13c\ud130\\Eagle Jobs + Additional Energy Metrics\\esif.hpc.eagle.job-anon-energy-metrics.zip"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_AIDC_POWER_V3R2_EAGLE_FINAL_REVIEW.json,133,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=11/eagle_jobs_energy_metrics_201811_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_AIDC_POWER_V3R2_EAGLE_FINAL_REVIEW.json,139,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=12/eagle_jobs_energy_metrics_201812_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_AIDC_POWER_V3R2_EAGLE_FINAL_REVIEW.json,145,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2019/month=1/eagle_jobs_energy_metrics_201901_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_AIDC_POWER_V3R2_EAGLE_FINAL_REVIEW.json,151,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2019/month=10/eagle_jobs_energy_metrics_201910_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_DATASET_DISCOVERY.json,12,"  ""jobs_energy_root"": ""C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw\ub370\uc774\ud130\\\ub370\uc774\ud130 \uc13c\ud130\\Eagle Jobs + Additional Energy Metrics"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_DATASET_DISCOVERY.json,34,"      ""title"": ""NLR HPC Eagle Jobs Data and Additional Energy Metrics"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_DATASET_DISCOVERY.json,81,"      ""absolute_path"": ""C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw\ub370\uc774\ud130\\\ub370\uc774\ud130 \uc13c\ud130\\Eagle Jobs + Additional Energy Metrics\\esif.hpc.eagle.job-anon-energy-metrics.zip"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_DATASET_DISCOVERY.json,91,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=11/eagle_jobs_energy_metrics_201811_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_DATASET_DISCOVERY.json,97,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=12/eagle_jobs_energy_metrics_201812_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SHARED_NODE_STATE_DATASET.json,31,"  ""source_join"": ""Eagle jobs + Eagle Ganglia/iLO only, physical node + UTC time"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SOURCE_AUTHORITY_MANIFEST.json,54,"      ""absolute_path"": ""C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw\ub370\uc774\ud130\\\ub370\uc774\ud130 \uc13c\ud130\\Eagle Jobs + Additional Energy Metrics\\esif.hpc.eagle.job-anon-energy-metrics.zip"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SOURCE_AUTHORITY_MANIFEST.json,64,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=11/eagle_jobs_energy_metrics_201811_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SOURCE_AUTHORITY_MANIFEST.json,70,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2018/month=12/eagle_jobs_energy_metrics_201812_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SOURCE_AUTHORITY_MANIFEST.json,76,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2019/month=1/eagle_jobs_energy_metrics_201901_0.parquet"","
EagleJobs,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v17_candidate\V17_EAGLE_SOURCE_AUTHORITY_MANIFEST.json,82,"          ""path"": ""esif.hpc.eagle.job-anon-energy-metrics/year=2019/month=10/eagle_jobs_energy_metrics_201910_0.parquet"","
