dataset_id,dataset_name,local_path,official_source_name,official_source_url,role,classification,final_V41R4_used,used_for,direct_or_indirect,preprocessing_output,consuming_code,consuming_artifact,SHA/source authority,first relevant version,final relevant version,paper_citation_required,paper_section,notes,evidence_level,source_kind,citation_group
PW04,AEMO realized rooftop PV — May,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\AEMO Rooftop PV — forecast + actual\Actual\PUBLIC_ARCHIVE#ROOFTOP_PV_ACTUAL#FILE01#202505010000.zip,AEMO MMSDM ROOFTOP_PV_ACTUAL,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2025/,REPORTED_ACTUAL_PV_ESTIMATE,DIRECT_PRODUCTION_INPUT,YES,Actual replay PV,DIRECT_RAW_READ_BY_FINAL_INPUT_BUILDER,V40D_AEMO_COMPLETENESS.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v40d_actual\exogenous.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40d_actual_realized_replay\V40D_AEMO_COMPLETENESS.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,2a1d641d2447d7ddc7926690185058f508dde91657be84a3acfbdc6810cff65e,V16 inputs; final Actual V40D,V41R4 May 2025,YES,Methods / realized replay,"TYPE=MEASUREMENT; repeat each 30-minute value twice. This is AEMO reported actual/estimated regional PV, not onsite meter data.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
PW05,AEMO 2025 demand and PV annual normalization archives,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\전력 데이터 AEMO Victoria | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO rooftop PV 자료,AEMO 2025 DISPATCHREGIONSUM and ROOFTOP_PV_ACTUAL,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2025/,OBSERVED_SERIES_NORMALIZATION_PARAMETER,MODEL_PARAMETER_OR_VALIDATION,YES,Frozen feeder demand scale and PV normalization,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,power_v61 → power_v70_3ph; FEEDER_ABSOLUTE_SCALE_CONTRACT_V2; PV_REFERENCE_MAX_MW,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\grid_background_v16_2.py,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\processed\power_v61\pipeline_manifest.json | D:\ChatGPT\Mobile ESS 2\MobileESS_v28r2_heavy_backend\pfr\contracts\FEEDER_ABSOLUTE_SCALE_CONTRACT_V2.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,Frozen scale contract 5fd67c25b7e3df89a19cba6bcaab348f2e0a3f72f85ac47e34c4b7935307e650; PV normalization provenance fe1b9c1c35249173edbe488a49d2271888cd745efb1b2bb03e526c3b5a429a97,power_v61/v70; V16.2,V41R4 May 2025,YES,Methods / test-system scaling and limitations,"2025 annual maximum 9490.53 MW; PV max 4021.226 MW. These are ex-post full-year scenario normalizers, not causal day-ahead predictors. Raw 2026 extras/price records in these folders are excluded. Exact original annual raw byte manifests remain weaker than frozen derived hashes.",FROZEN_DERIVED_SHA_AND_PREPROCESSING_RECEIPT_RAW_BYTES_PARTIAL,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
WX01,NOAA GFS D-1 weather — final May GRIB subsets,D:\ChatGPT\Mobile ESS 2\MobileESS_v28r2_heavy_backend\cache\v28r2_campaign_sources,NOAA GFS 0.25-degree forecasts via NOAA AWS archive,https://registry.opendata.aws/noaa-gfs-bdp-pds/,NUMERICAL_WEATHER_FORECAST,DIRECT_PRODUCTION_INPUT,YES,D-1 weather supplied to C1 for May Planning,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,may_2025/days/*/gfs_d1_weather.parquet; gfs_source_manifest.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v28r2\source_preflight.py | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v39a\power.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,"Per-day GRIB byte-range SHA, index SHA, URL/ETag; May 1 processed SHA 314c71f7aa7a7f72170c0f52b8a92d614139564411464c5658e6584be452968c",V24T / V28R2; May V37,V41R4 May 2025,YES,Methods / weather forecast and cooling,"Cycle D-1 06Z; lead hours 8–32. Records may live under cache/april_2025/gfs despite May dates; classify by manifest dates and hash, not folder name.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
WX02,NOAA NCEI Melbourne observed weather,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NOAANCEI Global Hourly\4384652.csv,NOAA NCEI Global Hourly / Integrated Surface Database,https://www.ncei.noaa.gov/products/land-based-station/integrated-surface-database,OBSERVED_STATION_WEATHER,DIRECT_PRODUCTION_INPUT,YES,Final Actual-replay weather; also earlier transfer/forecast validation,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,V24T decoded hourly parquet → V40D weather completeness,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v40d_actual\exogenous.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40d_actual_realized_replay\V40D_WEATHER_COMPLETENESS.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,raw 40bea5c958d2a7561dc1961235975a42d78b7f66db696d7d9b4367e40d21279e MATCH,V24T; final Actual V40D,V41R4 May 2025,YES,Methods / realized weather,Station 94866099999 Melbourne International. Distinct from NLR onsite weather and GFS forecast. Not a weather model refit.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
GR01,EPRI IEEE 123-node canonical case,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\EPRI IEEE 123-bus canonical OpenDSS case | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_work\integrated_rebuild\current\02_power_preprocess\epri_canonical,IEEE PES 123-node test feeder; EPRI OpenDSS implementation,https://sourceforge.net/p/electricdss/code/HEAD/tree/trunk/Distrib/IEEETestCases/123Bus/,SYNTHETIC_TEST_SYSTEM,DIRECT_PRODUCTION_INPUT,YES,"Native bus/phase P/Q, feeder lines/regulators and AC replay model",INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,Canonical DSS + generated PCC/PV assets; final full_feeder_manifest,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\grid_background_v16_2.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,IEEE123Master cc7c2f153ca1e57f9fb5cad8b3c3e1ecbcb20c5db59ca4d65539411a50525969; loads fd28f52836205506a1980b52c5a7e12ca585aa626c52a6249502c1c3b2fc2255; EPRI r4173 snapshot,power_v70 canonical rebuild; V16.2,V41R4 May 2025,YES,Methods / electrical test system,"Synthetic unbalanced test feeder, not measured Melbourne distribution topology. Generated PCC/PV/line-rating files are research transformations.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
GR03,OpenDSS / DSS-Python simulation engine,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead,EPRI OpenDSS; DSS-Python / DSS C-API,https://opendss.epri.com/,SIMULATION_SOFTWARE,MODEL_PARAMETER_OR_VALIDATION,YES,Historical generation of sensitivities and final Fresh/Actual AC validation outputs,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,Stored electrical_generation_outputs / accepted physical artifacts,Final read-only audit of source and stored artifacts only,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,Frozen runtime_environment and generation_source entries in transitive inventory,power_v61 onward,V41R4 May 2025,YES,Methods / AC validation and simulation,"Software citation, not external measured dataset. No OpenDSS was run during this audit.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_SOFTWARE,PARAMETER_VALIDATION
GR04,Jemena feeder load traces,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena 2025 feeder 부하\feeders.zip,Jemena historical feeder load traces,https://daprprd.blob.core.windows.net/historial-loadtrace-data/feeders.zip,MEASURED_LOAD_PATTERN_TRANSFER,DIRECT_PRODUCTION_INPUT,YES,Relative temporal diversity of background loads on synthetic electrical zones,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,jemena_cluster_residual_lookup.csv.gz; load_archetype_cluster_id.npy,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\work\Mobile_ESS_Integrated_Rebuild_20260731\src\preprocess_jemena_feeders.py | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\grid_background_v16_2.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_work\integrated_rebuild\current\02_power_preprocess\jemena_feeders\REPORT.md,lookup 159242ca2c198954c32a145a1776bf5dbc15eb896666c83dc93a2c444ca5e1ae; raw current hash in RAW_HASH_VERIFICATION.json,power_v70; V16.2,V41R4 May 2025,YES,Methods / background-load construction,"16 feeders, 3 archetypes in existing report. This is normalized pattern transfer, not actual IEEE123 land use or Jemena topology.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
GR05,Jemena zone-substation MW/MVAr measurements,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena MW·MVAR 자료\2019-22-historic-load-trace-zone-substations.xlsx,Jemena historical zone-substation MW and MVAr load traces,https://www.jemena.com.au/electricity/jemena-electricity-network/network-information/zone-substation-information/,MEASURED_PQ_PATTERN_TRANSFER,DIRECT_PRODUCTION_INPUT,YES,Relative Q variation; preserve native IEEE123 mean P/Q allocation,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,jemena_q_over_p_lookup.csv.gz,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\work\Mobile_ESS_Integrated_Rebuild_20260731\src\preprocess_jemena_mvar.py | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\grid_background_v16_2.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_work\integrated_rebuild\current\02_power_preprocess\jemena_mvar\REPORT.md,lookup 32143c7717e1cf37947d6d390bf7d7b518e7fbd852d719fa456e2b9a054f3e60; current XLSX hash in RAW_HASH_VERIFICATION.json,power_v70; V16.2,V41R4 May 2025,YES,Methods / background reactive power,"Use q_variation_factor, not unconditional transfer of raw absolute Q/P to all buses.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
GR06,Jemena AMI voltage report,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Jemena 2025 AMI voltage report\2025-distribution-voltage-report.csv,Jemena distribution voltage reporting 2024–25,https://www.jemena.com.au/electricity/jemena-electricity-network/network-information/network-planning/,OBSERVED_VOLTAGE_VALIDATION_ONLY,MODEL_PARAMETER_OR_VALIDATION,YES,External realism benchmark during power_v70 model development,VALIDATION_ONLY_NO_NUMERIC_PARAMETER_CHANGE,jemena_ami/gate.json and REPORT.md,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\work\Mobile_ESS_Integrated_Rebuild_20260731\src\preprocess_jemena_ami_voltage.py,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_work\integrated_rebuild\current\02_power_preprocess\jemena_ami\gate.json,"Current raw SHA in RAW_HASH_VERIFICATION.json; explicit gate states benchmark, not phase/bus input",power_v70,V41R4 May 2025,YES,Methods / model-development realism check,Does not supply V41R4 bus voltage labels or define final voltage limits. Cite only in model-development validation description.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
TR01,Victoria SCATS traffic volumes — consumed canonical years,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\교통 장기 데이터 Victoria SCATS | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\04_counts\scats_detector_day_rawwide_canonical_2014_2025_v4_parallel,Victorian Department of Transport / DataVic Traffic Signal Volume Data,https://discover.data.vic.gov.au/dataset/traffic-signal-volume-data/historical,OBSERVED_COUNTS_WITH_FLAGGED_IMPUTATION,DIRECT_PRODUCTION_INPUT,YES,15-minute demand patterns for traffic simulation; causal traffic features and observation-anchored label construction,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,Stage20D target_site_native15 → Stage25F 509-link labels → PR19 Traffic model and daily routes,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\run_stage20b_bind_scats2014_2025_source_native_v1.sh | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\stage22mm\scats_intensity.py | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\run_stage25f_correct_year.py,C:\codex_mobileess_workspace\MobileESS_v35r3e_r1_beam\dayahead\artifacts\v33m3_causal_dayahead_traffic\V33M3_FINAL_MODEL_AUTHORITY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\08_production_5min_validated_stage25f\STAGE_ML0_FROZEN.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\05_dynamic_dataset\10_observed_travel_time\stage20b_bind_scats2014_2025_source_native_v1\v01_stage20b_scats_binding_summary.json,Final training-source content manifest c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183; Stage20B report hash 809f98be21fe3c09eeb585b74edfb3ac6e814e391a7315789cfead5b5701845f,Stage20B/D → Stage25F → V33M3,V41R4 May 2025,YES,Methods / traffic demand and data construction,Final label corpus 2019–2025; canonical store 2014–2025 reports 4372 original observed days + 11 reconstructed/imputed days. Entire raw folder and all archive years must not be called measured/used without subset qualification. Source path in Stage25E schema discovery may show 2026; month-loader selects target-year partitions.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
TR02,HERE Traffic4cast movies and MeTS-10 Melbourne derived observations,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\data\here_downloads\2021\MELBOURNE.tar.gz | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\data\here_downloads\2022\MELBOURNE_2022.zip | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\data\here_extracted | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\data\release_melbourne_5min | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\data\edge_travel_time_5min,HERE Traffic Map Movies; MeTS-10: Metropolitan Segment Traffic Speeds from Massive Floating Car Data in 10 Cities,https://github.com/iarai/MeTS-10,OBSERVED_FLOATING_CAR_SPEED_DERIVED_VALIDATION,MODEL_PARAMETER_OR_VALIDATION,YES,Sparse speed observations for Stage20E/K 15-minute traffic correction calibration and transfer validation,INDIRECT_CALIBRATION_AND_VALIDATION,Stage20E sparse label store → Stage20K observed component labels → Stage25E frozen correction → Stage25F,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mets10_work\build_edge_tt_5min.py | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\run_stage20e_build_mets_sparse_label_store_v1.sh | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\run_stage25f_correct_year.py,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\frozen_stage25e\source_audit.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\frozen_stage25e\stage25e_decision.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\05_dynamic_dataset\10_observed_travel_time\stage20k_reduced509_observed_component_labels_v2\v02_reduced509_observed_component_label_contract_stage20k.json | C:\codex_mobileess_workspace\MobileESS_v35r3e_r1_beam\dayahead\artifacts\v33m3_causal_dayahead_traffic\V33M3_FINAL_MODEL_AUTHORITY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\08_production_5min_validated_stage25f\STAGE_ML0_FROZEN.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,Stage25E model 7245d135995cb93d0169148ddf09d188b1a751ae60a000249c27059b43f0e5e1; Stage20E source CSV names 288 observed daily files,Stage19–20; Stage25E/F; inherited V33M3,V41R4 May 2025,YES,Methods / traffic calibration and data limitations,"2019 180 observed days and 2020 108 days. Release folder 2021 maps to observation year 2019 and 2022 to 2020 in build_edge_tt_5min.py. Not new 2021/2022 observations; not native observed full-link 5-minute labels. 2020 transfer was historical, not a pristine blind external test.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
TR04,OpenStreetMap Melbourne road extracts,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\00_network,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,MAP_GEOMETRY,DIRECT_PRODUCTION_INPUT,YES,"Physical road graph, reduced-link mapping and mobility routes",INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,melbourne_study_v01.net.xml.gz → reduced48_context1 → 509-link graph / canonical route library,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\00_network\melbourne_study_v01.netccfg,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\06_stage22\packages\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume_20260726_171739\mobile_ess_stage25f_2019_2025_validated5min_full_production_v3_stream8_directio_resume\frozen_stage25e\source_audit.json,Reduced mapping 54cc34a8116bfc33667aeedeec0c301bf9a23530ea0d9dc5db95a7540b16640c; final graph and route members hashed in transitive inventory,SUMO network build / Stage22AB,V41R4 May 2025,YES,Methods / road network and geometry,Observed/public mapping geometry transformed into simulation topology; not real measured traffic speeds.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
TR05,Vicmap Elevation DEM 10 m,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\Vicmap Elevation DEM 10m\vmelev_dem10m_Geotiff_GDA94_VicGrid.zip,Victorian Government Vicmap Elevation DEM 10 m,https://discover.data.vic.gov.au/dataset/vicmap-elevation-dem-10m,GEOSPATIAL_ELEVATION_PARAMETER,DIRECT_PRODUCTION_INPUT,YES,Road grade/elevation for deterministic MESS route-energy physics,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,Conditioned DEM and network_elevated_conditioned.net.xml,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v33m\mobility_physics_adapter.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\24e_energy_stage_e1g_grade_validation_v1_7_resolution_aware_grade_profile\dem\DEM_PREPARATION_REPORT.json,Conditioned clip dbdba06d6c27a134aee4567d832a92470e24a88c7287865f69331c800c5f3930; exact raw VSIzip path in preparation receipt,Energy Stage E1G v1.7 → V33M3,V41R4 May 2025,YES,Methods / vehicle energy physics,"DEM is terrain input, not measured EV energy. Existing preparation receipt inspected; 11.9GB source ZIP not rehashed by this audit.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
TR06,SUMO traffic simulation engine,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\07_production_5min_raw,Eclipse SUMO,https://sumo.dlr.de/docs/,SIMULATION_SOFTWARE,MODEL_PARAMETER_OR_VALIDATION,YES,Generation of raw 5-minute traffic shape used by final model labels,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,Existing production_day_report; Stage25F metadata,Stored SUMO command receipt only; no execution in this audit,\\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\07_production_5min_raw\year=2025\date=2025-05-01\production_day_report.json | C:\codex_mobileess_workspace\MobileESS_v35r3e_r1_beam\dayahead\artifacts\v33m3_causal_dayahead_traffic\V33M3_FINAL_MODEL_AUTHORITY.json | \\wsl.localhost\Ubuntu-MobileESS-D\home\jaewon\mobile_ess_sumo\research_pipeline\08_production_5min_validated_stage25f\STAGE_ML0_FROZEN.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,Frozen label content SHA and production command receipts,Traffic production → Stage25F,V41R4 May 2025,YES,Methods / traffic simulation,Software source citation; simulation-generated labels must not be represented as measured travel times.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_SOFTWARE,PARAMETER_VALIDATION
WN01,SNDlib Abilene preinstalled topology/capacity,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\WAN\abilene_network_native.txt.txt | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\WAN\abilene_readme.txt.txt,SNDlib Abilene network benchmark,https://sndlib.put.poznan.pl/download/sndlib-networks-native/abilene.txt,NETWORK_BENCHMARK_ENGINEERING_INPUT,DIRECT_PRODUCTION_INPUT,YES,Final WAN migration capacity and deterministic fixed paths,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,IDC_MIGRATION_AUTHORITY_V1; V38 WAN adapter,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v38\contracts.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\pfr\contracts\IDC_MIGRATION_AUTHORITY_V1.json | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v38_aidc_spatiotemporal_wan\V38_WAN_FIELD_SEMANTICS_AUDIT.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,e620c92985e6d8b8c09c8e32588d806c8c1c03e3e944a07119672d1804fda512 MATCH,PFR1 → V38,V41R4 May 2025,YES,Methods / migration network,12-node capacity benchmark; not Melbourne WAN measurements. Preinstalled link capacities only.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
WN05,NVIDIA H100 memory specification,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\pfr\contracts\IDC_MIGRATION_AUTHORITY_V1.json,NVIDIA H100 Tensor Core GPU product specifications,https://www.nvidia.com/en-us/data-center/h100/,ENGINEERING_SPECIFICATION,MODEL_PARAMETER_OR_VALIDATION,YES,80GB/GPU aggregate framebuffer proxy for migration payload,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,IDC_MIGRATION_AUTHORITY_V1 checkpoint payload model,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v38\contracts.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\pfr\contracts\IDC_MIGRATION_AUTHORITY_V1.json,Explicit hardware_source URL and reported H100 SXM GPU memory 80GB,PFR1 → V38,V41R4 May 2025,YES,Methods / migration assumptions,"Engineering scenario, not measured checkpoint size; 30-minute checkpoint interval and 5-minute restart are declared scenario assumptions.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_ENGINEERING_SPECIFICATION,PARAMETER_VALIDATION
